gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MAEL|84944	34.38537375	3.815821141	0.456803759	8.353305044	6.64E-17	1.20E-12
WIF1|11197	734.7885244	3.071286469	0.389515866	7.884881563	3.15E-15	2.84E-11
COL4A6|1288	38.42280983	-2.225394013	0.28472128	-7.816043872	5.45E-15	3.28E-11
CIDEC|63924	14.80062438	-3.942030405	0.510802328	-7.717330545	1.19E-14	5.36E-11
NTS|4922	176.3570145	-3.859907534	0.504926838	-7.644488757	2.10E-14	7.57E-11
CHIA|27159	242.6305621	2.57685232	0.343684374	7.497729056	6.49E-14	1.95E-10
UPK1B|7348	237.564927	-4.461093791	0.64396749	-6.927513986	4.28E-12	1.10E-08
CTCFL|140690	20.73870722	-1.343193042	0.19520422	-6.880963122	5.94E-12	1.34E-08
FBN2|2201	63.27588069	-1.730294826	0.256317965	-6.750579595	1.47E-11	2.95E-08
HTR2B|3357	106.1046552	1.775779543	0.264719276	6.708161066	1.97E-11	3.56E-08
ASPG|374569	38.27196283	3.191546037	0.479959137	6.649620328	2.94E-11	4.82E-08
GUCY2C|2984	10.119523	-1.938865458	0.29914612	-6.481332456	9.09E-11	1.37E-07
NOTUM|147111	190.1846269	2.040422456	0.315551666	6.466207211	1.00E-10	1.40E-07
PCSK2|5126	428.5126562	3.430169213	0.53575358	6.402512905	1.53E-10	1.97E-07
NEFL|4747	31.96848527	-2.621110949	0.416266664	-6.296711161	3.04E-10	3.66E-07
LRRC66|339977	16.94082285	-1.785142773	0.292474907	-6.103575825	1.04E-09	1.17E-06
AKAP12|9590	1279.207751	-1.310767354	0.218622995	-5.995560317	2.03E-09	2.03E-06
MARCH4|57574	21.62137098	-1.837291436	0.306170302	-6.000880638	1.96E-09	2.03E-06
MFI2|4241	311.0711216	-1.241793482	0.208549333	-5.954435155	2.61E-09	2.48E-06
GDPD2|54857	2.243530955	-2.906622396	0.490280747	-5.928485701	3.06E-09	2.76E-06
MYO1E|4643	1520.72969	-0.704991433	0.119231065	-5.912816721	3.36E-09	2.89E-06
CDHR5|53841	20.68542773	-2.748058426	0.466343933	-5.892771903	3.80E-09	3.03E-06
DNER|92737	162.3808645	-1.769680044	0.300446229	-5.890172256	3.86E-09	3.03E-06
BIRC3|330	1510.512338	-1.098682786	0.188471343	-5.829442116	5.56E-09	4.18E-06
ITGA6|3655	1714.945424	-0.92932991	0.160642079	-5.785096396	7.25E-09	5.23E-06
CREG2|200407	8.814441988	-2.365181268	0.410751144	-5.758185465	8.50E-09	5.90E-06
MYO7B|4648	27.14415741	-1.543963984	0.270749279	-5.70255991	1.18E-08	7.89E-06
ENO3|2027	239.2791738	1.57624031	0.278479802	5.660160265	1.51E-08	9.75E-06
GRAMD1B|57476	153.360637	-1.610314929	0.285363309	-5.643034251	1.67E-08	1.04E-05
NTSR1|4923	16.91399291	-2.532374606	0.455967215	-5.553852389	2.79E-08	1.68E-05
KCNG1|3755	14.66565289	-1.74709374	0.316405623	-5.521689924	3.36E-08	1.95E-05
MYOM3|127294	14.28210021	-1.653111018	0.299649833	-5.516809413	3.45E-08	1.95E-05
WFDC5|149708	10.41880454	5.229956225	0.951018986	5.499318415	3.81E-08	2.09E-05
CDH17|1015	233.9621788	-2.196822854	0.401700352	-5.468809884	4.53E-08	2.40E-05
VTN|7448	29.55769148	-1.431301744	0.262141364	-5.460037744	4.76E-08	2.45E-05
CRHR2|1395	3.006308449	2.554147161	0.470146111	5.432666782	5.55E-08	2.75E-05
CST5|1473	7.586890665	1.949843142	0.359078686	5.430127771	5.63E-08	2.75E-05
NPY1R|4886	35.26477342	-1.481509616	0.273362379	-5.419581218	5.97E-08	2.76E-05
SFRP1|6422	163.6309836	-1.539305957	0.283846055	-5.423031005	5.86E-08	2.76E-05
FGF12|2257	70.79568407	-1.589382984	0.294748242	-5.392340848	6.95E-08	3.01E-05
MGAT5B|146664	47.5742457	-1.558041326	0.289028674	-5.39061161	7.02E-08	3.01E-05
RCAN2|10231	398.5883127	0.87081363	0.16153543	5.3908522	7.01E-08	3.01E-05
RHCG|51458	36.70537245	-2.537173307	0.471006873	-5.386701244	7.18E-08	3.01E-05
IL22RA1|58985	85.11814739	-1.318313181	0.245843324	-5.362411954	8.21E-08	3.37E-05
FLG|2312	16.5479874	-1.319151712	0.24706059	-5.33938542	9.33E-08	3.74E-05
E2F7|144455	110.4765812	-1.084474793	0.203480446	-5.329626579	9.84E-08	3.85E-05
ODZ3|55714	163.7145704	-1.166942161	0.219089812	-5.326318699	1.00E-07	3.85E-05
AHNAK2|113146	3065.603359	-1.123274757	0.211863328	-5.301883847	1.15E-07	4.14E-05
TMEM27|57393	148.5732818	1.38276203	0.26064065	5.305243173	1.13E-07	4.14E-05
WFDC12|128488	9.26872916	3.226971522	0.60792279	5.308193038	1.11E-07	4.14E-05
MTTP|4547	14.50913318	1.597418898	0.301971381	5.289967851	1.22E-07	4.33E-05
PKP2|5318	421.340058	-1.262870171	0.238950637	-5.285067179	1.26E-07	4.36E-05
SCG2|7857	83.3902982	-1.206955611	0.229720422	-5.254019651	1.49E-07	5.07E-05
MAFK|7975	2020.578785	-0.838713456	0.15992621	-5.244377729	1.57E-07	5.24E-05
HSD17B13|345275	38.36934743	1.494941112	0.285264606	5.240541878	1.60E-07	5.25E-05
UPK2|7379	10.72957094	-1.654830784	0.316596275	-5.226943317	1.72E-07	5.55E-05
EPHX1|2052	9164.486196	1.008939711	0.193228004	5.221498376	1.77E-07	5.62E-05
PEBP4|157310	304.3398076	1.826019771	0.349936805	5.218141512	1.81E-07	5.62E-05
HPCAL4|51440	51.5779109	1.604784697	0.307757389	5.214447338	1.84E-07	5.64E-05
GGTLC1|92086	267.4283883	1.504295498	0.289046145	5.204343745	1.95E-07	5.86E-05
IL1A|3552	36.50703161	-1.551971032	0.29900962	-5.190371568	2.10E-07	6.20E-05
PCDH19|57526	34.93501143	-1.382282103	0.266463285	-5.187514309	2.13E-07	6.20E-05
C8orf46|254778	18.67631203	1.190034762	0.230804293	5.156033919	2.52E-07	6.89E-05
HSD17B6|8630	436.4242597	1.191946174	0.231049683	5.158830604	2.48E-07	6.89E-05
KLHDC8B|200942	672.0268441	0.560336175	0.108732864	5.153328592	2.56E-07	6.89E-05
SLC6A17|388662	35.58921801	-1.724199374	0.334579928	-5.153325796	2.56E-07	6.89E-05
SRGAP1|57522	378.76884	-0.739552593	0.143465567	-5.154913516	2.54E-07	6.89E-05
HOXD8|3234	56.53590486	-1.401941873	0.272316158	-5.148214056	2.63E-07	6.98E-05
CDH2|1000	209.0758874	-1.533222999	0.298334297	-5.139278372	2.76E-07	7.21E-05
ABAT|18	407.8289918	0.880832908	0.172207008	5.114965527	3.14E-07	8.09E-05
TMEM163|81615	757.6385016	1.150895962	0.225245437	5.109519545	3.23E-07	8.21E-05
CRISP3|10321	18.79417231	-2.613942814	0.512415658	-5.101215729	3.37E-07	8.46E-05
KCNJ8|3764	358.1896003	0.900759983	0.177368632	5.078462697	3.81E-07	9.28E-05
KYNU|8942	882.5826512	-1.334997308	0.262746982	-5.080923481	3.76E-07	9.28E-05
SLC14A1|6563	33.43910593	1.091674418	0.215931876	5.055642726	4.29E-07	0.000103221
ABCC11|85320	3.67091833	-1.467204907	0.290778404	-5.045783618	4.52E-07	0.000106357
SLC47A1|55244	301.6224417	1.061056607	0.210322709	5.044897972	4.54E-07	0.000106357
ECT2|1894	1214.694794	-0.694532091	0.137968668	-5.033984165	4.80E-07	0.000109385
ITGA5|3678	3041.731605	-0.853932886	0.169585381	-5.035415674	4.77E-07	0.000109385
VIPR2|7434	24.71093838	-1.527088692	0.303462956	-5.032207933	4.85E-07	0.000109385
ARNTL2|56938	259.85602	-1.025367989	0.204183728	-5.021790914	5.12E-07	0.000112672
FURIN|5045	10103.56964	-0.955371444	0.190230611	-5.022175131	5.11E-07	0.000112672
CKMT2|1160	20.23992898	1.289739631	0.257590339	5.006940998	5.53E-07	0.000120252
ARL14|80117	36.76569743	-2.018768898	0.403702281	-5.000637832	5.71E-07	0.000122771
SLC16A1|6566	644.784502	-1.036475278	0.207994851	-4.983177592	6.25E-07	0.000132809
SLC2A1|6513	4356.289437	-0.914840519	0.183695128	-4.980211116	6.35E-07	0.000133293
KRT6A|3853	1342.617124	-2.118488756	0.427640083	-4.953905957	7.27E-07	0.000150894
FER1L5|90342	7.272337337	1.648230402	0.33298365	4.949883887	7.43E-07	0.000152296
JAG1|182	1109.505062	-0.715523121	0.144919551	-4.937381591	7.92E-07	0.000157279
PLCD3|113026	360.1652262	-0.748235637	0.151484226	-4.939363379	7.84E-07	0.000157279
TMOD3|29766	1928.569098	-0.424445771	0.085971052	-4.937077808	7.93E-07	0.000157279
AP1S3|130340	452.2333415	-0.547054793	0.1112199	-4.918677247	8.71E-07	0.000167292
C18orf54|162681	93.47112483	-0.650592342	0.132171936	-4.922318326	8.55E-07	0.000167292
HNF4A|3172	74.21989205	-2.130804054	0.433088669	-4.920018014	8.65E-07	0.000167292
FABP3|2170	417.8815423	1.201279265	0.244531807	4.912568546	8.99E-07	0.000170774
